,slack,m0,m1,m2,m3,m4,m5,m6,m7,DE0 onwind,DE1 onwind,DE2 onwind,DE offwind,DE solar,DE ror,DE solar thermal collector,DE central solar thermal collector,DE solar-rooftop,DE load shedding,DE OCGT,DE H2 Electrolysis,DE H2 Fuel Cell,DE Sabatier,DE battery charger,DE battery discharger,DE central heat pump,DE ground heat pump,DE water tanks charger,DE water tanks discharger,DE central water tanks charger,DE central water tanks discharger,DE resistive heater,DE central resistive heater,DE gas boiler,DE central gas boiler,DE central CHP electric,DE central CHP heat,DE BEV charger,DE PHS,DE hydro,DE gas Store,DE H2 Store,DE battery,DE water tank,DE central water tank,DE battery storage,p DE0 onwind,p DE1 onwind,p DE2 onwind,p DE offwind,p DE solar,p DE ror,p DE solar thermal collector,p DE central solar thermal collector,p DE solar-rooftop,p DE load shedding,p0 DE OCGT,p0 DE H2 Electrolysis,p0 DE H2 Fuel Cell,p0 DE Sabatier,p0 DE battery charger,p0 DE battery discharger,p0 DE central heat pump,p0 DE ground heat pump,p0 DE water tanks charger,p0 DE water tanks discharger,p0 DE central water tanks charger,p0 DE central water tanks discharger,p0 DE resistive heater,p0 DE central resistive heater,p0 DE gas boiler,p0 DE central gas boiler,p0 DE central CHP electric,p0 DE central CHP heat,p0 DE BEV charger,p1 DE OCGT,p1 DE H2 Electrolysis,p1 DE H2 Fuel Cell,p1 DE Sabatier,p1 DE battery charger,p1 DE battery discharger,p1 DE central heat pump,p1 DE ground heat pump,p1 DE water tanks charger,p1 DE water tanks discharger,p1 DE central water tanks charger,p1 DE central water tanks discharger,p1 DE resistive heater,p1 DE central resistive heater,p1 DE gas boiler,p1 DE central gas boiler,p1 DE central CHP electric,p1 DE central CHP heat,p1 DE BEV charger,p0 DE PHS,p0 DE hydro,p1 DE PHS,p1 DE hydro,p0 DE gas Store,p0 DE H2 Store,p0 DE battery,p0 DE water tank,p0 DE central water tank,p0 DE battery storage,p1 DE gas Store,p1 DE H2 Store,p1 DE battery,p1 DE water tank,p1 DE central water tank,p1 DE battery storage,Cost [%],Cost [€/a]
0,1.01,1,1,1,1,1,1,1,1,193.2743947,46142.17016,112630.3129,54045.46565,251170.3027,9992.867676,42666.97152,88695.51799,438.7248894,1.897336182,94.68477784,82950.60951,43945.03548,27986.70792,782.9323827,869.9248697,19340.26476,14343.71646,146377.7203,119772.465,108877.9838,82755.31366,12070.40679,9367.871849,38959.553,46.81688874,53044.51302,7956.676952,465300,6800,1267.132324,44607429.86,5055457.441,6741.587091,165022.308,10421554.12,1057500,82560.812,33102772.98,113236143.9,91382625.93,89837922.43,4778384.128,7122206.124,14661551.37,125118.1397,1265.642121,26766.41203,85676703.82,21767665.28,46773766.42,663095.7466,596812.3223,21623131.07,21103199.93,18846477.07,15427064.43,43347196.61,35757997.57,4475486.376,5290841.837,11890692.71,10280.34946,13970492.92,2166052.337,60169565.34,-10438.90069,-68541363.05,-12625245.86,-28064259.85,-596786.1719,-537131.0901,-52284826.59,-65378660.34,-16961829.36,-13884357.99,-39012476.95,-32182197.81,-4027937.738,-4761757.653,-10701623.44,-9252.314517,-6538190.687,-6758083.291,-54152608.81,-3208300.851,0,2271709.148,612915.5755,-26596512.63,-36857962.16,-436925.3728,-8905405.518,-26061325.04,-25272180.83,26596537.51,36857962.16,436951.5232,7370640.591,22806845.66,25271239.41,1.010018248,87993910793
1,1.01,1,1,1,1,1,1,1,-1,8.967777153,43175.27061,112630.3596,54055.87593,273675.8526,9992.867676,422.2029392,66726.753,19.83347757,0.043819126,5.032155982,79758.86083,108456.9639,27759.11287,11.61654127,12.90726808,18692.59314,13674.0638,41593.78279,35858.80053,102130.7776,74211.21655,16273.11905,10006.9026,40439.03776,2.940746869,51622.09202,7743.313803,465300,6800,1267.132324,47601313.84,4878495.844,71.31789101,112343.0973,11679944.2,1057500,3927.789577,30899783.85,113124308.8,89061847.03,98128826.45,4801138.134,62603.77823,11081808.17,5268.005123,55.85547368,1323.649239,86959006.22,24602398.75,44964810.85,10770.4361,9695.152144,22730002.67,21701543.88,11117850.66,9026633.889,38506934.21,30993500.17,5781532.803,5174050.381,13144911.59,537.9871641,11698001.52,2134113.509,60168589.71,-516.2232032,-69567204.98,-14269391.27,-26978886.51,-9693.39249,-8725.636929,-55524900.93,-68164626.18,-10006065.59,-8123970.5,-34656240.79,-27894150.16,-5203379.523,-4656645.343,-11830420.43,-484.1884477,-5474664.711,-6658434.149,-54151730.74,-3412428.634,0,2471312.186,617560.7884,-26692489.88,-38395266.96,-4800.099181,-6798195.2,-25235310.94,-25702173.69,26692491.63,38395266.96,4801.858834,5818763.5,21572570.32,25702110.34,1.010001228,87992427992
2,1.01,1,1,1,1,1,1,-1,1,0.882081373,40936.73766,112630.3609,54056.33856,299999.8997,9992.867676,3.327141138,16.62164433,6506.80004,0.003523982,2.975143008,77252.478,51868.45043,32263.11704,2.995719875,3.328577639,18743.41241,12965.91464,45525.27065,39300.19303,71363.28952,72986.51837,24692.30782,9506.062489,50297.8708,319927.3949,65748.95761,9862.343642,465300,6800,1267.132324,50738508.71,2786721.731,22.72091077,122926.3062,11787677.12,1057500,385.35596,29433383.1,113120805.5,84424057.8,107758070.8,4839826.476,437.4394516,2148.110474,2271312.501,5.135436972,314.7899456,88829710.97,20863124.52,50200645.62,2720.008805,2448.526725,25370597.83,21376079.09,8188499.592,6398846.607,28422560.11,21910919.81,7305487.105,4849490.858,12160126.97,56.29394795,15238720.33,2721169.564,60168540.08,-122.7680788,-71063768.77,-12100612.22,-30120387.37,-2448.007924,-2203.674053,-63155381.39,-67177138.35,-7369649.633,-5758961.947,-25580304.1,-19719827.83,-6574938.395,-4364541.772,-10944114.27,-50.66455316,-7131721.117,-8490049.041,-54151686.07,-3303732.386,0,2435245.662,617871.0113,-29508379.33,-34391174.33,-1504.142295,-6656227.865,-23385219.96,-26915551.93,29508379.91,34391174.33,1504.661096,5685424.839,19715835.67,26915533.26,1.010000362,87992352556
3,1.01,1,1,1,1,1,1,-1,-1,0.161180055,38625.77999,112630.3609,54056.41294,299999.9991,9992.867676,0.580121008,6.527180906,7124.673413,0.00074599,0.529177889,76903.019,57535.08683,31172.68757,0.356558008,0.396175564,18019.22898,12854.75161,44831.6404,38701.75587,71666.01526,75707.69862,24582.84734,9026.668534,50294.66794,323177.3888,65047.04409,9757.056613,465300,6800,1267.132324,50597330.35,2996513.261,2.33687191,121046.3147,19044537.19,1057500,72.28811937,27910805.61,113267123.6,85417474.06,107813034.9,4869378.005,77.29544739,855.489077,2554567.165,1.199633627,55.77201801,88178500.69,21782079.79,48760720.76,334.9219421,301.4297479,25722117.46,21227071.88,7266405.405,5701254.032,28058085.27,19485413.66,7399764.882,5342515.482,12271499.95,9.318937068,14339583.04,2645284.371,60168519.32,-21.75108702,-70542800.56,-12633606.28,-29256432.46,-301.4297479,-271.2867731,-64768215.69,-66698127.29,-6539764.864,-5131128.629,-25252276.74,-17536872.3,-6659788.393,-4808263.934,-11044349.95,-8.387043361,-6710924.864,-8253287.237,-54151667.39,-3294047.503,0,2466941.05,617857.4813,-28879993.94,-35117266.15,-158.4150681,-6465570.513,-25195420.69,-27077045.46,28879993.93,35117266.15,158.4150681,5627059.682,19428557.61,27077045.46,1.01,87992321016
4,1.01,1,1,1,1,1,-1,1,1,100.7556319,51523.11554,112630.3429,54045.23945,299902.4561,9992.867676,331.1220596,1889.446917,232.1994758,0.393138623,81.80307311,74954.65732,50322.32019,30354.46774,272.4205558,302.6895065,16244.91748,12545.51447,105053.4791,88531.81388,97549.85904,60936.60001,226397.3764,49845.75857,45710.6401,62.1214579,54198.19882,8129.729823,465300,6800,1267.132324,48340555.85,3175686.387,1873.683992,116839.7213,12606668.83,1057500,43952.80253,36581211.29,112760421.5,90773965.44,107031103.1,4739159.412,42810.14074,243889.9326,57831.656,547.7923662,18497.4206,85095060.97,20844307.3,47231913.23,247543.3965,222854.488,22716510.06,21128373.83,24598485.69,20995138.87,44623191.23,36242361,10913706.25,16969270.75,12409952.5,6470.916387,13604330.88,2299969.023,60171136.57,-7213.994036,-68076048.78,-12089698.24,-28339147.94,-222789.0568,-200569.0392,-56619162.17,-66938932.47,-22138637.12,-18895624.98,-40160872.1,-32618124.9,-9822335.623,-15272343.67,-11168957.25,-5823.824748,-6366826.851,-7175903.351,-54154022.91,-3520785.649,0,2427836.104,618495.8593,-27708602.47,-33990213.91,-125822.1631,-7238149.793,-27988765.01,-26676525.75,27708675.27,33990213.91,125887.5942,6094651.547,24070253.91,26674170.23,1.010045658,87996298811
5,1.01,1,1,1,1,1,-1,1,-1,101.7136247,49695.55826,112630.3426,54044.30433,299923.6485,9992.867676,328.9722471,1827.290438,250.1902121,0.392262054,84.57271342,74756.19282,58486.52513,29745.55434,195.3874026,217.097114,16357.63835,12586.9241,107498.4029,91060.64193,95689.05593,58581.48512,228453.5021,46959.32894,45506.99392,65.06324293,54273.69425,8141.054137,465300,6800,1267.132324,48358378.31,3302691.352,1125.249641,112752.3395,12702403.64,1057500,44283.52318,35255821.85,112752069.7,90767397.11,107023648.7,4735839.506,42448.73533,236392.0882,62873.62891,539.7358992,18435.32122,84869690.45,22010835.67,45885065.5,175042.0584,157594.5428,22982790.13,21176606.54,24204782.13,20685882.42,43581383.02,35290529.25,10691169.42,16099695.89,12360976.44,6690.933579,12857279.88,2287719.227,60170786.93,-7189.775276,-67895752.36,-12766284.69,-27531039.3,-157537.8525,-141835.0885,-57261786.57,-67067867.46,-21784303.92,-18617294.18,-39223244.72,-31761476.33,-9622052.475,-14489726.3,-11124878.79,-6021.840221,-6017206.986,-7137683.989,-54153708.24,-3523823.478,0,2432736.338,617356.9272,-27271974.06,-34724335.63,-77747.39234,-7078898.127,-27601862.87,-26669691.98,27272036.56,34724335.63,77804.08255,5980476.627,23669147.4,26667651.13,1.010039559,87995767419
6,1.01,1,1,1,1,1,-1,-1,1,0.804705229,48091.22957,112630.3608,54056.41283,299999.9447,9992.867676,2.412836853,12.13538586,9.773791266,0.003187011,3.180599738,74752.07932,51364.6337,31310.07336,2.130049549,2.366721721,16655.19835,12678.28019,43781.77704,37794.99501,76831.35664,73757.41403,36621.13651,24110.5187,50961.32298,315328.9512,62589.58762,9388.438142,465300,6800,1267.132324,48698906.79,2861618.984,14.83895004,118215.1987,16030194.74,1057500,353.5219866,34708377.8,113359446.7,83931792.68,107778311,4855482.569,315.2166281,1460.532204,2651.419482,4.524187685,334.7101933,86061821.43,20480921,48368536.14,2027.438252,1824.694427,23975327.89,20970820.16,7789340.032,6122656.453,29691653.25,21730990.69,8637242.73,10335217.88,11992623,55.52227204,14462757.37,2565351.051,60168519.32,-130.5369754,-68849457.14,-11878934.18,-29021121.69,-1824.694427,-1642.224984,-60136077.51,-65978821.01,-7010406.029,-5510390.808,-26722487.92,-19557891.62,-7773518.457,-9301696.094,-10793360.7,-49.97004483,-6768570.448,-8003895.279,-54151667.39,-3213277.315,0,2389924.484,617839.4897,-28514687.01,-33350952.54,-974.387273,-6517311.983,-25644510.95,-27188483.45,28514686.98,33350952.54,974.3872731,5629562.407,20653013.73,27188483.45,1.01,87992321016
7,1.01,1,1,1,1,1,-1,-1,-1,1.20E-07,45782.14009,112630.3609,54056.41296,300000,9992.867676,4.10E-07,8.63E-06,1.34E-06,5.03E-10,8.86E-07,73979.25663,57304.28327,29983.13286,2.76E-07,3.06E-07,16609.81856,12590.31814,42982.70538,37105.70205,65833.45361,73689.23236,36149.23661,21315.83938,51166.79471,320217.4228,61698.06995,9254.710493,465300,6800,1267.132324,48533392.48,3067403.512,1.81E-06,116053.3045,21556012.62,1057500,5.36E-05,32976807.76,112896074.1,84228191.34,107820000,4872593.434,5.52E-05,0.001119303,0.000395148,8.79E-07,8.82E-05,85565580.52,21387476.76,47064985.92,0.000239705,0.000215735,25139870.08,20855494.32,7335058.305,5777081.911,29965445.43,20367601.04,8683748.445,7992718.145,12174522.51,9.27E-06,13568820.65,2495648.392,60168519.77,-3.44E-05,-68452464.41,-12404736.52,-28238991.55,-0.000215735,-0.000194161,-63964152.95,-65630306.4,-6601552.475,-5199373.72,-26968900.89,-18330840.94,-7815373.6,-7193446.33,-10957070.26,-8.34E-06,-6350208.064,-7786422.984,-54151667.79,-3325342.123,0,2494006.587,617862.7449,-27950493.14,-34088598.49,-0.000119514,-6601552.301,-26968900.78,-27369044,27950493.14,34088598.49,0.000119514,5777081.76,20367600.93,27369043.59,1.01,87992321016
8,1.01,1,1,1,1,-1,1,1,1,368.4536971,38253.11572,112630.3189,54051.92419,269781.488,9992.867676,22148.04586,35619.08282,885.6093145,3.209060535,158.2066555,80392.00138,42609.43967,28784.04903,1382.236738,1535.818597,23470.81437,15188.07808,142622.6709,118603.7009,96173.51689,83299.39553,10277.91827,745.4472688,39190.82002,83.17330984,53844.34592,8076.651889,465300,6800,1267.132324,45004989.08,4635516.084,11417.59627,156509.3738,11031661.15,1057500,164570.8102,27302137.9,113075351.1,91311887.54,96382995.79,4776114.771,3550327.934,5779921.164,271033.9829,2231.490964,46602.26325,86294591.09,21403478.15,47632378.65,1156103.471,1040563.194,26135453.78,22367661.8,19213211.59,15903068.83,36289359.91,29269804.04,3560632.82,389931.9069,11903600.18,17464.766,14396885.4,2214948.193,60171322.14,-18174.88267,-69035672.87,-12414017.33,-28579427.19,-1040493.124,-936506.8746,-64201563.47,-69702707.21,-17291890.43,-14312761.95,-32660423.92,-26342823.64,-3204569.538,-350938.7162,-10713240.16,-15718.2894,-6737742.368,-6910638.362,-54154189.93,-3384734.456,0,2392780.208,611845.2104,-27080363.36,-36139098.96,-789879.858,-8493170.294,-26477882.34,-25638726.97,27080436.96,36139098.96,789949.9284,7104348.692,23087262.46,25636204.44,1.010048896,87996580849
9,1.01,1,1,1,1,-1,1,1,-1,165.6017278,36547.56177,112630.3204,54046.76981,284262.4545,9992.867676,2451.742513,24269.67385,330.4980955,0.825197583,98.41104926,78869.15401,98815.39778,28558.33124,219.6777679,244.0864088,22577.7755,14320.939,151311.623,131927.2325,88162.23779,81001.46586,13841.03767,1210.170879,40540.42835,44.22578125,52795.9214,7919.388211,465300,6800,1267.132324,47735928.57,4505666.616,1425.245898,118105.8605,10613311.29,1057500,68541.42012,25924967.25,112834972.6,91005020.67,101392891,4765929.963,356088.9799,3846287.595,85439.62987,977.0141,25608.95497,87530049.1,24639137.57,45384954.21,211476.6866,190349.0178,26675470.78,22361938.37,19951809.06,16861051.38,36637297.37,29693651.01,5195822.768,663828.2435,13017796.82,8876.236625,11991464.89,2187243.465,60169319.32,-9987.492437,-70024039.28,-14290699.79,-27230972.53,-190329.0179,-171314.116,-65947314.59,-70296532.57,-17956628.16,-15174946.24,-32973567.63,-26724285.91,-4676240.491,-597445.4191,-11716017.14,-7988.612963,-5612005.571,-6824199.612,-54152387.39,-3570922.856,0,2535279.952,612221.5114,-26884520.65,-37994203.75,-100883.9871,-7304966.861,-25795930.79,-25838697.73,26884538.5,37994203.75,100903.987,6209390.082,22516014.17,25837977.74,1.010013956,87993536883
10,1.01,1,1,1,1,-1,1,-1,1,0.490940853,39138.17866,112630.3609,54056.40754,299999.985,9992.867676,1.858564508,8.357117798,6495.233722,0.001894481,1.571257007,77666.42077,52103.447,32258.15595,1.82980041,2.033111567,19433.93663,13044.91862,45527.22198,39302.25032,74108.87124,75658.46405,24302.40415,7556.966415,50077.8805,316039.4632,66119.81159,9917.971739,465300,6800,1267.132324,50759372.79,2801719.618,14.0016329,122927.009,11956030.31,1057500,219.2195345,28150617.83,113131679,84746140.88,107762206.4,4844539.287,240.0662827,1020.201224,2282117.239,2.730311611,167.3890908,88927354.1,20998871.71,50143012.2,1643.166257,1479.089289,25837082.76,21453960.65,8109581.221,6335278.646,28639337.14,22102717.83,7078809.08,3592455.667,12120439.4,27.56917204,15244408.7,2720764.532,60168528.91,-65.28174543,-71141883.28,-12179345.59,-30085807.32,-1478.849631,-1331.18036,-64333278.07,-67395344.29,-7298623.099,-5701750.782,-25775403.42,-19892446.05,-6370928.172,-3233210.1,-10908395.46,-24.81225483,-7134383.27,-8488785.339,-54151676.02,-3286920.239,0,2425475.327,617865.2379,-29485837.52,-34446396.84,-932.7110167,-6618483.421,-23540375.58,-26819246.84,29485837.79,34446396.84,932.9506741,5655138.969,19867689.98,26819238.21,1.010000167,87992335586
11,1.01,1,1,1,1,-1,1,-1,-1,2.31E-05,37524.69005,112630.3609,54056.41296,300000,9992.867676,8.74E-05,0.000561414,7131.899753,9.61E-08,0.000149758,76651.58769,57565.86814,30984.24738,5.83E-05,6.47E-05,18734.41357,12965.73094,45394.81502,39188.00516,76491.83174,75708.48912,24339.00613,7801.883232,50118.67536,320959.961,64697.46963,9704.620444,465300,6800,1267.132324,50396743.87,3003448.036,0.000394962,122566.0007,18235073.19,1057500,0.01028922,27122734.99,113265367.6,85206222.96,107819998.1,4872592.37,0.011789507,0.072405866,2563202.869,0.000167134,0.015095999,88069856.2,21852102.71,48603782.25,0.05044818,0.045403362,25993874.14,21311714.79,7216691.669,5648283.581,27846254.87,19558823.88,7153733.414,4384806.4,12249033.79,0.001711961,14289270.92,2623964.619,60168519.32,-0.00588744,-70455884.96,-12674219.57,-29162269.35,-0.045403362,-0.040863026,-65419635.7,-66937812.11,-6495022.502,-5083455.223,-25061629.38,-17602941.5,-6438360.073,-3946325.76,-11024130.41,-0.001540764,-6687378.793,-8186769.611,-54151667.39,-3271470.108,0,2453601.76,617862.7434,-28797470.49,-35102691.65,-0.026072959,-6494993.004,-25061609.77,-27193397.73,28797470.49,35102691.65,0.026072959,5648254.083,19558804.27,27193397.73,1.01,87992321016
12,1.01,1,1,1,1,-1,-1,1,1,33.09925964,49098.95647,112630.3584,54055.99632,299989.4503,9992.867676,108.5936518,427.9158702,91.26827347,0.185150625,24.56984435,74679.64695,50726.86638,29264.66502,91.219943,101.3554922,17098.15381,12705.34194,55848.97227,47566.46562,94056.86974,64179.36032,234016.8365,44153.45107,45644.21458,17.63538239,53821.57551,8073.236326,465300,6800,1267.132324,47821345.88,3445699.882,612.9844364,118118.3057,12348526.38,1057500,14865.17539,34694853.71,112599256.4,89933531.22,107167789.1,4745730.33,13502.62151,50047.26262,25642.34856,195.0574386,5621.573827,85159596.45,21464013.21,46663699.08,80124.65329,72125.57098,23725265.12,21238971.92,20918379.11,17668718.79,43654027.15,35442505.42,10049298.36,14181189.23,12261189.74,1820.472245,13454469.51,2275132.764,60169054.64,-2192.413793,-68127677.16,-12449127.66,-27998219.45,-72112.18796,-64913.01388,-59152559.56,-67191292.26,-18826541.2,-15901846.91,-39288624.44,-31898254.88,-9044368.528,-12763070.31,-11035070.77,-1638.425021,-6296691.729,-7098414.223,-54152149.18,-3521773.059,0,2443462.123,617711.1046,-27358796.3,-34683072.28,-40626.27603,-7363473.426,-27650824.3,-26713181.75,27358810.91,34683072.28,40639.65905,6205651.022,23804705.28,26712699.96,1.010009339,87993134618
13,1.01,1,1,1,1,-1,-1,1,-1,37.02610153,47612.52575,112630.358,54056.34303,299989.9692,9992.867676,114.0039926,568.4602242,112.3141253,0.134502508,30.45410754,74424.98435,58569.96756,28813.29899,66.78502599,74.20558443,17151.0766,12718.75346,82226.24574,67396.6047,93301.88964,64595.08773,234977.7742,42060.5765,45211.29488,20.90107036,54189.83409,8128.475113,465300,6800,1267.132324,47941801.78,3529222.963,394.0691101,114361.7709,12341488.27,1057500,16425.13656,33660996.15,112644423.8,90480593.69,107072033.3,4740109.774,14704.26641,71326.11943,29497.40548,185.6232534,6742.88035,84866218.71,22455650.25,45437371.71,59372.28039,53452.95487,23850895.43,21310468.29,22696711.74,19310345.24,43846144.63,35635968.34,10169092.28,13879060.41,12205912.45,2050.680502,12775121.82,2272615.296,60169235.42,-2629.723337,-67892974.97,-13024277.15,-27262423.02,-53435.05235,-48107.65938,-59429027.08,-67433109.21,-20427040.57,-17379310.72,-39461530.17,-32072371.51,-9152183.049,-12491154.37,-10985321.2,-1845.612452,-5978757.01,-7090559.724,-54152311.88,-3514832.72,0,2434967.159,617359.7533,-26988416.73,-35288756.68,-27166.87507,-7255754.483,-27496218.13,-26694454.25,26988436.83,35288756.68,27184.77758,6139059.157,23670656.3,26693809.76,1.010012492,87993409375
14,1.01,1,1,1,1,-1,-1,-1,1,0.000215986,45399.08482,112630.3609,54056.41296,300000,9992.867676,0.000683865,0.002740315,0.00385799,9.44E-07,0.000970894,74477.56925,51526.885,30980.16162,0.000613957,0.000682174,17148.67382,12757.66768,45394.81473,39188.0049,76005.17509,73701.29177,35961.00618,19200.78302,50910.09668,319626.0759,63452.36782,9517.855173,465300,6800,1267.132324,48689757.76,2874412.203,0.004349831,122566.0014,20049828.3,1057500,0.095406876,32865544.17,113448692.1,84904887.62,107819986.6,4872586.771,0.090847908,0.328545322,1.138362334,0.001567717,0.100159483,86427262.74,20601545.49,48540264.7,0.563435478,0.50709193,24725611.57,21044221.22,7311734.938,5727256.944,29253353.99,20191183.26,8337388.427,8869399.584,11944902.65,0.013394595,14588227.81,2591028.249,60168519.32,-0.039062199,-69141810.19,-11948896.38,-29124158.82,-0.50709193,-0.456382737,-62324238.72,-66170207.79,-6580561.445,-5154531.25,-26328018.59,-18172064.93,-7503649.584,-7982459.626,-10750412.39,-0.012055136,-6827290.614,-8084008.136,-54151667.39,-3216521.09,0,2412383.206,617862.7381,-28597422.83,-33615349.97,-0.284546748,-6580386.598,-26327871.97,-27227043.62,28597422.83,33615349.97,0.284546748,5727082.098,20191036.64,27227043.62,1.01,87992321016
15,1.01,1,1,1,1,-1,-1,-1,-1,0.238627718,45914.90969,112630.3609,54056.41269,299999.989,9992.867676,0.68166591,4.287615007,6.556238195,0.000846636,0.902152006,74644.47796,57332.50739,30334.23489,0.491418066,0.546020074,17873.42837,12751.71334,42858.88963,36998.63588,77189.46962,73411.19388,34770.85956,19650.51105,50700.12347,318181.3289,62334.10454,9350.115681,465300,6800,1267.132324,48731525.38,3067875.533,3.215528646,115720.0192,12215105.48,1057500,106.6178858,33132791.38,113293591.4,83094767.69,107796155.9,4858019.201,88.71521874,535.496415,1794.467574,1.220970184,93.06982062,85830367.19,21445787.65,47218506.44,441.8362392,397.7847263,24600540.84,21030155.86,7246952.672,5675461.835,29681561.47,22834223.21,8280256.868,8037939.255,12039908.72,12.83412602,13758165.02,2532924.379,60168524.61,-36.29723004,-68664293.75,-12438556.84,-28331103.87,-397.6526153,-358.0062537,-61302767.23,-66117871.72,-6522257.405,-5107915.651,-26713405.32,-20550800.89,-7452231.182,-7234145.329,-10835917.84,-11.55071342,-6438821.228,-7902724.063,-54151672.15,-3109337.683,0,2313921.752,617864.1258,-28052034.6,-34262178.3,-218.90475,-6246411.677,-24564814.41,-26966682.27,28052034.75,34262178.3,219.036861,5399616.106,20685632.3,26966677.52,1.010000092,87992329048
16,1.01,1,1,1,-1,1,1,1,1,140.4685477,45978.24685,112630.3358,54055.97167,250589.2499,9992.867676,44581.67854,91162.68715,345.6647874,1.687963542,69.17237207,82941.88791,43898.23393,27900.67919,648.4638336,720.5153707,19253.12524,14343.998,148791.8124,121482.1049,110587.599,82469.2729,12129.37693,9436.758572,38800.40473,29.04992318,52985.32247,7947.798371,465300,6800,1267.132324,44487114.29,5100087.529,5745.455311,166670.0626,10473914.47,1057500,61118.33483,32987135.11,113253320.8,91467677.2,89628719.34,4784802.899,7425191.046,15025069.92,101213.3187,959.1982778,19334.94756,85619593.12,21808330.79,46687369.89,544083.2657,489684.9121,21526751.81,21065678.93,19208619.06,15740346.94,43963021.45,36281854.81,4442215.144,5317021.635,11832119.45,6538.405879,13987801.15,2166636.993,60168918.24,-7540.629547,-68495674.5,-12648831.86,-28012421.93,-489674.9391,-440716.4209,-52042990.73,-65237754.61,-17287757.16,-14166312.25,-39566719.31,-32653669.33,-3997993.629,-4785319.472,-10648907.51,-5884.565291,-6546290.94,-6759907.418,-54152026.42,-3203116.122,0,2275008.01,614354.8177,-26504790.28,-37010287.1,-369596.4585,-8989138.817,-26140359.43,-25250634.99,26504799.29,37010287.1,369606.4314,7441728.603,22855494.94,25250275.96,1.010006959,87992927307
17,1.01,1,1,1,-1,1,1,1,-1,7.082090949,43295.29449,112630.3599,54056.37315,273577.4527,9992.867676,396.3874398,66458.05907,18.43707665,0.03486686,4.248057211,79697.97431,108450.618,27746.12252,9.397832413,10.44203601,18698.52303,13688.39314,41514.574,35813.76288,102185.9315,74689.84311,16181.51054,10141.49074,40384.27808,2.444641489,51676.06332,7751.409498,465300,6800,1267.132324,47577289.49,4876605.025,59.23616711,112123.9709,11470642.17,1057500,3148.788723,30942328.45,113108260.1,89205404.72,98073323.73,4802882.788,58992.14457,11011578.03,5050.20717,42.86590342,1070.155161,86937646.42,24598192.14,44951927.29,8497.903191,7648.986474,22723371.19,21721139.17,11333724.38,9221257.474,38776782.25,31279549.59,5776603.744,5305200.827,13129490.43,413.6770994,11704855.91,2135327.061,60168554.27,-417.3605129,-69550117.14,-14266951.44,-26971156.38,-7648.112872,-6884.087827,-55485789.11,-68227223.42,-10200351.94,-8299131.726,-34899104.03,-28151594.63,-5198943.369,-4774680.744,-11816541.39,-372.3093895,-5477872.565,-6662220.429,-54151698.84,-3410954.723,0,2471060.987,617644.238,-26687340.85,-38404264.19,-3943.093911,-6799740.716,-25219946.13,-25712949.34,26687341.71,38404264.19,3943.967513,5820646.251,21600391.7,25712917.89,1.01000061,87992374126
18,1.01,1,1,1,-1,1,1,-1,1,0.02604057,39866.15888,112630.3609,54056.41272,299999.9998,9992.867676,0.094598253,0.672782688,6434.298921,0.000130722,0.103959634,76943.97926,51953.2949,32045.6294,0.082920641,0.092134046,17890.99666,12861.71734,45527.98437,39302.88362,75438.92529,75708.09731,25127.76951,9606.596873,50586.52184,323966.0319,65604.12557,9840.618836,465300,6800,1267.132324,50530573.53,2794592.876,0.619067909,122925.797,20070235.31,1057500,11.33801917,28815887.89,113297228.1,85794618.37,107818212.1,4871813.584,13.01193468,94.87560078,2310929.528,0.172240231,11.03904907,88581159.33,20841600.21,50023327.25,74.89327361,67.40394625,25602133.37,21222786.72,7344093.172,5751836.647,28530457.79,19594145.28,7458679.891,5874237.769,12254651.3,1.853924963,15072258,2687074.155,60168519.32,-4.305229138,-70864927.46,-12088128.12,-30013996.35,-67.40394624,-60.66355162,-64534562.91,-66692495.27,-6609683.855,-5176652.983,-25677412.02,-17634730.75,-6712811.902,-5286813.993,-11029186.17,-1.668532466,-7053816.745,-8383671.364,-54151667.39,-3324266.394,0,2492492.159,617861.9777,-29416385.21,-34362746.83,-41.40409856,-6593180.147,-25669157.15,-26917215.82,29416385.21,34362746.83,41.40409856,5735332.94,19585890.42,26917215.82,1.01,87992321016
